Geriatrikenhet,Uppdaterad senast,Lediga vårdplatser,Väntande godkända remisser,Meddelande
Dalengeriatriken,2026-06-28 17:09,0,0,Vänligen ring bakjour när akuta remisser skickas på jourtid. Fax: 08-58700008 (OBS! Ring bakjour innan remiss skickas/faxas). Capio Geriatrik Dalen
Danderydsgeriatriken,2026-06-28 20:46,0,3,Inget geografiskt upptagningsområde för slutenvården. Vi vårdar sköra äldre med behov av både akutsjukhusets resurser och det geriatriska teamet. Disponibla vårdplatser gäller både avd 32/GAVA och avd 37. Efter kl 21 sker inläggningar via medicinakuten.
Erstageriatriken,2026-06-28 17:43,0,11,Innan akut inläggning kontaktas bakjour på tel. 08-714 68 17. Intagssamordnare nås vardagar mellan 8-16 på tel. 08-714 68 22. Jourtid prioriteras patienter från akut och ambulans. Mer om oss: Ersta Geriatrik
Handengeriatriken,2026-06-27 10:09,0,,"Remisser från hemmet, SÄBO och ambulanser prioriteras. Fax: 08-58700611. Capio Geriatrik Handen"
Huddingegeriatriken,2026-06-25 08:55,0,3,Prioritering av akuta flöden. All geriatrik som inte behöver akutsjukhusets resurser hänvisas till extern geriatrik.
Jakobsbergsgeriatriken,2026-06-28 22:00,1,0,
Löwetgeriatriken,2026-06-28 19:09,0,,"Vid önskemål om direktinläggning från akutmottagningar, närakuten eller vårdcentraler önskas alltid telefonsamtal till bakjouren innan remissen skickas"
Nackageriatriken,2026-06-28 20:01,1,,Endast få enkelrum på kliniken. Vid inläggning från akutmottagning önskas alltid telefonsamtal. Capio Geriatrik Nacka
Nynäshamnsgeriatriken,2026-06-27 10:09,0,,"Remisser från hemmet, SÄBO och ambulanser prioriteras. Fax 08-520 173 81. Capio Geriatrik Nynäshamn"
Sabbatsbergsgeriatriken,2026-06-28 21:30,0,0,Bakjourskontakt 08-12338164 vid akut inläggning. Välkomna med remisser till Intaget Sabbatsbergsgeriatriken i Take Care.
Sollentunageriatriken,2026-06-28 21:41,1,0,Välkommen att remittera till oss via remiss i Take Care. För akuta inläggningar kontakta vår bakjour på telefon. Om remiss behöver faxas är faxnummer 08-51820007. Se mer information om oss via länken: Capio Geriatrik Sollentuna
Stockholms Sjukhem Geriatrik Bromma,2026-06-28 15:17,0,0,DIREKTINTAG DYGNET RUNT ÅRET RUNT! För akuta inläggningar kontakta Bakjour innan ni skickar remiss. Mer info om oss via Länk till Bromma: Stockholms Sjukhem Geriatrik Bromma
Stockholms Sjukhem Geriatrik Kungsholmen,2026-06-27 21:37,0,5,DIREKTINTAG DYGNET RUNT ÅRET RUNT! För akuta inläggningar kontakta Bakjour innan ni skickar remiss. Mer info om oss via Länk till _Kungsholmen: Stockholms Sjukhem Geriatrik kungsholmen
Södertäljegeriatriken,2026-06-28 06:41,0,2,"Direktintag dygnet runt till enkelrum! Från akutmottagning, ambulans, SÄBO, primärvård (efter kontakt med geriatrikkonsult/bakjour, tel. : 08 1232 5599)."
Tiohundra,2026-06-26 10:31,3,2,antalet disponibla vårdplatser varierar utifrån behov av somatiska vårdplatser.
